product_id,product_name,product_brand,pro_price,pro_quantity,pro_color,pro_size,pro_fabric
1056,Jeans,Tommy Hilfiger,5966,164,Red,L,Linen
1057,T-Shirt,Adidas,8529,32,Purple,40,Leather
1058,Sweater,Nike,5491,98,Yellow,XXL,Nylon
1059,Jeans,Tommy Hilfiger,1288,178,Red,38,Linen
1060,Blazer,Armani,6564,190,Blue,XL,Linen
1061,T-Shirt,Gucci,8020,119,Blue,XXL,Leather
1062,Jeans,Reebok,6447,68,Black,L,Silk
1063,T-Shirt,Zara,2523,16,Pink,42,Leather
1064,Blazer,Adidas,3048,99,Green,42,Polyester
1065,T-Shirt,H&M,7828,17,Pink,XXL,Wool
1066,Jacket,Puma,8991,28,Grey,S,Denim
1067,Jeans,Zara,6082,41,Purple,XL,Leather
1068,Skirt,H&M,5722,144,Yellow,40,Cotton
1069,Jeans,Gucci,9970,147,Green,M,Polyester
1070,Dress,Levi's,3652,52,Pink,M,Denim
1071,Skirt,Adidas,3315,92,Green,40,Nylon
1072,Hoodie,Nike,5123,100,Pink,42,Denim
1073,T-Shirt,Tommy Hilfiger,6075,198,White,42,Linen
1074,Sweater,Nike,2991,88,Pink,36,Viscose
1075,Blazer,Nike,1987,167,Green,XL,Leather
1076,Skirt,Nike,2329,14,Pink,L,Denim
1077,Jacket,Puma,7793,77,Green,S,Silk
1078,Jeans,Levi's,6136,79,Black,40,Mesh
1079,T-Shirt,Armani,1293,167,Orange,XL,Leather
1080,Dress,H&M,4780,199,White,38,Nylon
1081,Skirt,Nike,1517,27,Blue,42,Cotton
1082,Sneakers,Armani,8550,124,Grey,S,Cotton
1083,Skirt,Nike,960,195,Blue,M,Nylon
1084,Jacket,Tommy Hilfiger,3568,152,Grey,42,Denim
1085,Hoodie,Gucci,9960,35,Purple,38,Linen
1086,Skirt,Nike,9082,91,Orange,42,Polyester
1087,Shorts,Levi's,8883,10,Blue,XL,Silk
1088,T-Shirt,Levi's,2831,14,Pink,L,Leather
1089,Sneakers,Nike,8086,22,Blue,42,Mesh
1090,Sneakers,Zara,8534,31,Purple,S,Wool
1091,Blazer,Reebok,6718,23,Grey,36,Wool
1092,Hoodie,Nike,7601,41,Grey,40,Linen
1093,T-Shirt,H&M,7084,27,Pink,L,Cotton
1094,T-Shirt,Levi's,2038,24,Purple,36,Cotton
1095,Jacket,Reebok,6659,121,Yellow,40,Viscose
1096,Sweater,Zara,6796,187,Purple,L,Cotton
1097,Shorts,Armani,6296,46,Green,40,Cotton
1098,Dress,Armani,9952,49,Orange,42,Viscose
1099,T-Shirt,Armani,2521,36,Yellow,XXL,Cotton
1100,T-Shirt,Reebok,9402,138,Black,40,Linen
1101,Blazer,Nike,1936,115,Pink,42,Linen
1102,Skirt,H&M,8691,189,Green,44,Mesh
1103,Dress,Levi's,1981,161,Black,42,Leather
1104,Hoodie,Adidas,4374,119,Yellow,38,Leather
1105,Dress,Zara,4097,153,Pink,36,Wool
1106,T-Shirt,Nike,3474,27,Black,L,Cotton
1107,Shorts,Tommy Hilfiger,2012,32,Red,L,Cotton
1108,Hoodie,Puma,4589,103,Blue,44,Silk
1109,Hoodie,Adidas,4137,195,Black,S,Polyester
1110,Shorts,Levi's,3277,48,Pink,42,Leather
1111,Sweater,Nike,9208,130,Orange,36,Nylon
1112,T-Shirt,Adidas,8043,18,Black,38,Viscose
1113,Hoodie,Reebok,1391,32,Yellow,44,Linen
1114,Sneakers,Puma,1529,82,Red,XXL,Linen
1115,Dress,Adidas,7578,195,Purple,44,Nylon
1116,Jacket,Puma,7925,128,Orange,XL,Polyester
1117,Shorts,Tommy Hilfiger,2454,21,Red,XL,Wool
1118,Sneakers,Tommy Hilfiger,2520,128,White,36,Mesh
1119,Blazer,Adidas,1991,147,Yellow,42,Silk
1120,Shorts,H&M,8521,128,Orange,XL,Mesh
1121,T-Shirt,Reebok,8578,121,Blue,40,Leather
1122,Sneakers,Puma,6204,161,Black,S,Denim
1123,Hoodie,Nike,4273,64,Black,40,Wool
1124,Shorts,Nike,2144,126,Green,38,Leather
1125,Skirt,Nike,9061,177,Grey,36,Linen
1126,Sneakers,Puma,7125,30,Red,36,Polyester
1127,Dress,Gucci,5164,184,Green,XXL,Cotton
1128,Hoodie,Levi's,2742,183,Blue,S,Denim
1129,Shorts,Gucci,8368,66,Orange,42,Linen
1130,Skirt,Puma,4896,171,Red,36,Viscose
1131,Hoodie,Adidas,7515,73,Black,40,Wool
1132,Sneakers,Zara,5963,193,White,42,Silk
1133,Skirt,Nike,1376,194,Grey,36,Cotton
1134,Skirt,Tommy Hilfiger,8036,181,Pink,XXL,Nylon
1135,Jacket,Zara,1877,113,White,XL,Viscose
1136,Blazer,Gucci,6329,172,Yellow,XXL,Cotton
1137,Dress,Nike,9411,179,Green,44,Nylon
1138,Blazer,Levi's,4787,123,Pink,S,Nylon
1139,Blazer,H&M,4873,109,Pink,L,Polyester
1140,Jeans,Reebok,2404,152,Blue,L,Leather
1141,T-Shirt,H&M,3728,184,Green,XXL,Linen
1142,T-Shirt,Adidas,3883,56,Blue,XL,Nylon
1143,Sweater,Zara,6770,40,Red,44,Cotton
1144,Jeans,Nike,2828,157,White,XL,Wool
1145,Blazer,Gucci,4474,175,Grey,M,Leather
1146,Jacket,Adidas,4090,131,Purple,36,Nylon
1147,Shorts,H&M,5510,170,Pink,36,Linen
1148,Sweater,Armani,4606,16,Grey,S,Leather
1149,Jeans,Adidas,8809,91,Pink,L,Silk
1150,Sweater,Nike,4703,136,Blue,S,Viscose
1151,Sneakers,Reebok,9835,97,Orange,44,Leather
1152,Jeans,Reebok,5581,29,White,XXL,Silk
1153,Jeans,Reebok,7244,139,White,44,Wool
1154,Jacket,Tommy Hilfiger,6499,140,Orange,40,Silk
1155,Jacket,Armani,1244,175,Orange,36,Leather
1156,Jacket,H&M,5036,74,Red,42,Mesh
1157,Dress,H&M,9108,75,Red,42,Wool
1158,Blazer,Gucci,2240,112,White,M,Mesh
1159,Blazer,H&M,2436,196,Red,38,Wool
1160,T-Shirt,H&M,2015,79,Blue,XXL,Viscose
1161,T-Shirt,Gucci,971,106,White,S,Linen
1162,Jeans,Gucci,1493,180,Pink,S,Denim
1163,T-Shirt,H&M,7092,181,Green,38,Silk
1164,T-Shirt,Nike,8293,136,Orange,42,Viscose
1165,Shorts,Gucci,2946,125,Blue,M,Linen
1166,Shorts,H&M,4859,20,White,M,Polyester
1167,Jacket,Reebok,8596,66,Grey,XL,Wool
1168,Hoodie,Reebok,4019,151,Green,XL,Wool
1169,Jeans,Zara,8750,82,Blue,42,Wool
1170,Shorts,H&M,4879,88,White,38,Mesh
1171,Hoodie,Tommy Hilfiger,5692,88,Black,44,Leather
1172,Sneakers,Zara,2505,59,Yellow,S,Viscose
1173,Dress,Reebok,6840,131,Green,XL,Leather
1174,T-Shirt,Zara,3904,10,Blue,40,Viscose
1175,T-Shirt,Tommy Hilfiger,6908,130,Green,38,Wool
1176,Jacket,Adidas,8638,26,Black,XL,Nylon
1177,T-Shirt,Armani,1679,15,Red,38,Mesh
1178,Shorts,H&M,1175,12,Orange,L,Silk
1179,Sweater,H&M,5456,93,White,38,Cotton
1180,Blazer,Reebok,7219,172,Pink,38,Linen
1181,Shorts,Armani,857,102,Blue,40,Leather
1182,Jeans,Nike,2701,151,Orange,XXL,Leather
1183,Jacket,Levi's,2222,159,Blue,XXL,Leather
1184,Dress,Zara,4876,199,Blue,XL,Viscose
1185,Skirt,Tommy Hilfiger,1315,84,Pink,40,Nylon
1186,Sneakers,Tommy Hilfiger,5700,50,Green,40,Nylon
1187,Sneakers,Nike,8949,126,Blue,42,Viscose
1188,Blazer,Levi's,4539,154,Yellow,L,Denim
1189,T-Shirt,Nike,5712,122,Pink,XXL,Viscose
1190,Sweater,Puma,6832,101,Red,38,Polyester
1191,Hoodie,Adidas,1195,92,Pink,M,Nylon
1192,Hoodie,Tommy Hilfiger,7852,52,Yellow,XXL,Nylon
1193,Blazer,Puma,5588,87,Orange,40,Leather
1194,Shorts,Puma,4228,77,Orange,38,Mesh
1195,Skirt,Nike,5497,126,White,38,Silk
1196,Sweater,Zara,3544,153,Purple,38,Nylon
1197,T-Shirt,Nike,5631,167,Blue,XL,Leather
1198,Hoodie,Puma,2321,168,Purple,44,Nylon
1199,Jacket,Nike,573,165,Orange,L,Mesh
1200,Jeans,Reebok,2412,100,Red,S,Cotton
1201,Blazer,Nike,6320,158,White,XL,Wool
1202,Dress,Adidas,1552,166,White,36,Wool
1203,T-Shirt,Reebok,3731,182,Pink,44,Wool
1204,Dress,Tommy Hilfiger,7187,52,Black,L,Cotton
1205,Skirt,Levi's,9329,176,Grey,XL,Nylon
1206,Hoodie,Gucci,8661,152,Red,S,Linen
1207,Hoodie,Zara,863,98,Grey,S,Denim
1208,Sweater,Gucci,9635,128,White,44,Polyester
1209,Shorts,Armani,5304,153,Purple,M,Polyester
1210,Blazer,Levi's,5630,140,Black,42,Polyester
1211,Jeans,Adidas,2932,73,Pink,M,Linen
1212,Dress,Zara,8323,108,Purple,M,Leather
1213,Skirt,Nike,6877,186,White,XL,Nylon
1214,Sneakers,Nike,6865,95,Purple,L,Polyester
1215,Jacket,Levi's,4253,19,Green,S,Leather
1216,Sweater,Levi's,5054,11,Yellow,XL,Polyester
1217,Skirt,Adidas,7997,152,Red,38,Mesh
1218,Jeans,Tommy Hilfiger,8150,179,Red,XXL,Linen
1219,Shorts,Nike,606,34,Grey,38,Wool
1220,Shorts,Levi's,9155,115,Grey,38,Viscose
1221,Sweater,Adidas,1041,15,Pink,XL,Polyester
1222,Jeans,Reebok,7360,46,Green,40,Cotton
1223,Hoodie,Adidas,2962,62,White,M,Denim
1224,Skirt,Zara,4356,12,Green,XL,Viscose
1225,Sweater,Tommy Hilfiger,3963,27,Grey,S,Viscose
1226,Skirt,Tommy Hilfiger,5973,194,Purple,44,Polyester
1227,Jacket,Armani,635,56,Grey,XL,Cotton
1228,Jacket,Nike,4218,107,Green,XXL,Nylon
1229,Jeans,Puma,4098,92,Pink,M,Linen
1230,Dress,Reebok,1310,36,Green,M,Silk
1231,Hoodie,Tommy Hilfiger,6516,12,Grey,40,Leather
1232,Skirt,Reebok,6257,34,Pink,42,Silk
1233,Dress,Puma,4701,144,Purple,44,Linen
1234,Shorts,Armani,8409,184,Purple,40,Mesh
1235,Sneakers,Nike,4970,195,Pink,L,Linen
1236,T-Shirt,Puma,646,102,Purple,XL,Denim
1237,Sweater,Gucci,592,95,Green,42,Nylon
1238,Skirt,Armani,4287,157,Blue,L,Wool
1239,Jacket,Reebok,9690,47,White,M,Cotton
1240,Jeans,Adidas,6625,57,White,38,Wool
1241,Skirt,Gucci,5021,53,Purple,XXL,Polyester
1242,Hoodie,Armani,9309,197,Purple,M,Wool
1243,Sweater,H&M,672,185,White,40,Polyester
1244,Sweater,H&M,6286,149,Blue,40,Polyester
1245,Jacket,H&M,7028,171,Black,42,Polyester
1246,Hoodie,Levi's,4535,98,Green,36,Leather
1247,Jeans,Adidas,8725,170,Orange,44,Polyester
1248,Skirt,Reebok,3634,83,Yellow,M,Denim
1249,Skirt,Gucci,8681,18,Purple,XXL,Polyester
1250,T-Shirt,Tommy Hilfiger,8496,105,Black,40,Wool
1251,Hoodie,Zara,6736,195,Pink,L,Viscose
1252,Sneakers,Armani,5926,200,Red,M,Wool
1253,Skirt,Adidas,530,148,Orange,XL,Polyester
1254,Skirt,Tommy Hilfiger,2036,73,Pink,L,Nylon
1255,Blazer,Puma,5594,76,Grey,S,Mesh
1256,Hoodie,Nike,7619,157,Pink,44,Leather
1257,Jacket,H&M,2244,124,Black,M,Leather
1258,Sneakers,Reebok,1375,48,White,S,Cotton
1259,Skirt,Levi's,8514,117,Pink,40,Linen
1260,Blazer,Levi's,5312,192,Green,42,Polyester
1261,Shorts,Reebok,3765,160,Orange,44,Polyester
1262,Skirt,Nike,5984,123,Red,XXL,Silk
1263,Jacket,Armani,5246,31,Black,40,Mesh
1264,Hoodie,Adidas,3133,11,Purple,M,Linen
1265,Sweater,H&M,5811,100,Red,40,Mesh
1266,Blazer,Tommy Hilfiger,2677,187,Purple,S,Leather
1267,Jeans,Armani,9264,77,White,44,Leather
1268,Skirt,Armani,7824,178,Orange,S,Wool
1269,Skirt,Tommy Hilfiger,2974,152,Blue,44,Mesh
1270,Jeans,Gucci,2850,70,Pink,XXL,Denim
1271,Jacket,Armani,697,65,Yellow,40,Mesh
1272,Shorts,Nike,9607,173,Black,M,Wool
1273,Dress,Armani,1180,162,Grey,36,Leather
1274,Skirt,Nike,5949,169,Red,XXL,Mesh
1275,Jeans,Armani,5340,79,Orange,XXL,Denim
1276,Jacket,Nike,6820,126,White,XXL,Linen
1277,Jacket,Nike,5841,128,Pink,44,Leather
1278,T-Shirt,H&M,7269,187,Blue,36,Polyester
1279,Sneakers,Reebok,8007,131,Red,M,Silk
1280,Dress,Zara,3348,66,White,40,Leather
1281,T-Shirt,Zara,5521,177,Black,XXL,Cotton
1282,Sweater,Puma,6466,39,Purple,44,Wool
1283,Blazer,Armani,4041,69,Purple,38,Silk
1284,Hoodie,Nike,8492,164,Grey,M,Wool
1285,Skirt,Puma,592,68,White,36,Mesh
1286,Jacket,Levi's,1667,116,Red,38,Nylon
1287,Jeans,Puma,4210,40,Blue,36,Viscose
1288,Hoodie,Nike,9500,29,Red,S,Viscose
1289,Jacket,Zara,7078,192,Yellow,36,Wool
1290,Blazer,Gucci,7357,164,Yellow,38,Cotton
1291,Sweater,Adidas,5288,129,Black,S,Mesh
1292,Blazer,Levi's,3821,43,White,L,Viscose
1293,T-Shirt,Gucci,3034,68,Orange,36,Mesh
1294,Dress,Tommy Hilfiger,4001,56,Red,M,Leather
1295,Skirt,Puma,6312,179,Blue,L,Wool
1296,Skirt,Nike,9100,149,Yellow,S,Wool
1297,T-Shirt,Adidas,5359,130,White,38,Mesh
1298,Hoodie,Zara,3279,83,White,36,Viscose
1299,T-Shirt,Nike,8572,12,Pink,M,Nylon
1300,Jeans,Armani,5430,70,Yellow,XXL,Polyester
1301,Sneakers,Tommy Hilfiger,7017,129,Grey,XL,Mesh
1302,Sneakers,Nike,738,17,Yellow,S,Cotton
1303,Dress,H&M,1184,64,White,M,Mesh
1304,Jeans,Reebok,7786,101,Orange,XL,Silk
1305,Skirt,Puma,6282,176,Blue,XL,Linen
1306,Skirt,Nike,6777,178,Orange,XL,Mesh
1307,Sneakers,Levi's,9062,192,Orange,M,Silk
1308,Hoodie,Adidas,921,97,Yellow,36,Silk
1309,Blazer,Tommy Hilfiger,2319,49,Blue,XXL,Mesh
1310,Shorts,Zara,9790,60,Yellow,38,Cotton
1311,Jeans,Puma,8047,115,Purple,42,Wool
1312,Hoodie,Zara,3875,92,Red,40,Wool
1313,Sweater,Puma,9776,175,Grey,XXL,Linen
1314,T-Shirt,Reebok,784,171,Green,L,Denim
1315,Dress,Adidas,5449,47,Yellow,44,Wool
1316,Jeans,Puma,3476,84,Pink,XL,Mesh
1317,Jacket,H&M,3597,118,Red,S,Denim
1318,Skirt,Armani,9418,26,Purple,36,Denim
1319,Dress,Gucci,4978,58,Yellow,42,Polyester
1320,Jeans,Armani,4984,102,Red,42,Mesh
1321,Dress,Zara,4242,25,Black,44,Denim
1322,Blazer,Gucci,7362,191,Yellow,36,Silk
1323,Blazer,Puma,1666,134,Orange,38,Linen
1324,Jacket,Armani,6665,160,Grey,36,Linen
1325,Jacket,Levi's,4689,46,Grey,36,Denim
1326,Sneakers,Adidas,3683,149,White,40,Leather
1327,Skirt,Armani,4166,181,Yellow,44,Wool
1328,Hoodie,Tommy Hilfiger,1502,159,Purple,S,Wool
1329,Jacket,Tommy Hilfiger,9018,62,Purple,L,Nylon
1330,Blazer,Levi's,7968,80,Red,XXL,Nylon
1331,Blazer,H&M,2941,40,Red,M,Wool
1332,Sneakers,Gucci,5066,34,Orange,42,Silk
1333,Shorts,Nike,8254,39,Pink,XL,Nylon
1334,Sneakers,Gucci,6468,127,Blue,XXL,Cotton
1335,Blazer,Puma,1687,122,Black,42,Silk
1336,Shorts,Puma,4470,152,Orange,36,Linen
1337,Hoodie,Gucci,5308,109,Black,XL,Viscose
1338,Blazer,H&M,6622,125,Orange,XL,Viscose
1339,Shorts,Tommy Hilfiger,9093,106,Grey,44,Polyester
1340,T-Shirt,Zara,2226,118,Black,42,Wool
1341,T-Shirt,H&M,8043,153,Pink,40,Mesh
1342,Jacket,Levi's,9536,125,Grey,44,Mesh
1343,Hoodie,Nike,2597,95,Grey,40,Wool
1344,Shorts,Armani,8080,100,Red,XXL,Viscose
1345,Dress,Puma,9827,199,Grey,M,Leather
1346,Jeans,Puma,3927,117,Yellow,40,Wool
1347,Hoodie,Adidas,730,152,Black,S,Viscose
1348,Dress,H&M,5874,74,Blue,XXL,Polyester
1349,Sweater,Reebok,5931,69,White,38,Denim
1350,Dress,Zara,1358,111,Purple,M,Wool
1351,Jacket,Levi's,5334,64,Yellow,L,Mesh
1352,T-Shirt,Armani,4587,72,Black,38,Leather
1353,Jacket,Adidas,2534,10,Orange,38,Denim
1354,Blazer,Tommy Hilfiger,9163,72,Pink,36,Denim
1355,Sneakers,Puma,2333,132,Yellow,XL,Viscose
1356,Jeans,Levi's,9605,24,Black,XXL,Linen
1357,Shorts,Armani,9316,177,Black,38,Denim
1358,Dress,Tommy Hilfiger,6069,112,Black,XXL,Nylon
1359,Sweater,Puma,7852,46,Green,44,Viscose
1360,Blazer,Nike,9687,58,White,M,Polyester
1361,Skirt,Zara,1437,85,Blue,XXL,Polyester
1362,Jacket,Puma,4468,121,Blue,38,Nylon
1363,Hoodie,Puma,993,13,Blue,42,Polyester
1364,Jacket,Adidas,5906,195,Green,40,Mesh
1365,Skirt,H&M,6742,29,Yellow,XL,Cotton
1366,Shorts,Levi's,969,148,Purple,42,Viscose
1367,Jeans,Tommy Hilfiger,4533,165,Yellow,XXL,Viscose
1368,Sneakers,Nike,1995,22,Yellow,38,Wool
1369,T-Shirt,Reebok,9457,40,Purple,44,Wool
1370,Blazer,Nike,4572,191,Blue,42,Nylon
1371,T-Shirt,Tommy Hilfiger,2408,50,Purple,L,Cotton
1372,Hoodie,Nike,7444,143,Red,M,Nylon
1373,Blazer,Tommy Hilfiger,1389,169,Purple,40,Mesh
1374,Hoodie,Nike,7552,108,Blue,42,Nylon
1375,Dress,Zara,7192,95,Yellow,S,Polyester
1376,Jacket,Levi's,9415,87,Yellow,M,Mesh
1377,Jeans,Reebok,1665,34,Pink,XL,Cotton
1378,T-Shirt,Levi's,4548,85,Purple,38,Nylon
1379,Sneakers,Puma,7444,184,Green,L,Mesh
1380,Hoodie,Reebok,2219,50,White,38,Denim
1381,Sweater,Adidas,7270,94,Black,XXL,Mesh
1382,Jeans,Levi's,8662,68,Purple,40,Polyester
1383,Shorts,Levi's,8994,103,Purple,XXL,Viscose
1384,Shorts,H&M,8363,33,Purple,XL,Nylon
1385,Skirt,Gucci,4194,34,White,44,Polyester
1386,Sweater,Tommy Hilfiger,1993,142,Red,40,Nylon
1387,Hoodie,Adidas,4099,180,Orange,XL,Cotton
1388,Sneakers,Armani,1387,38,Blue,40,Wool
1389,T-Shirt,Reebok,5588,176,Red,44,Viscose
1390,Jacket,Tommy Hilfiger,5572,92,Green,44,Nylon
1391,Dress,Tommy Hilfiger,7368,171,White,44,Polyester
1392,Jeans,Zara,7897,65,Black,40,Cotton
1393,Sneakers,Levi's,3482,184,Blue,M,Leather
1394,Sneakers,Puma,1418,37,Black,42,Wool
1395,Sweater,Armani,4215,75,Grey,40,Linen
1396,Sweater,Nike,8742,59,Blue,M,Linen
1397,Jacket,Zara,5254,70,White,M,Linen
1398,Shorts,Reebok,3218,153,Black,XXL,Wool
1399,Jeans,Puma,8943,86,Grey,36,Cotton
1400,T-Shirt,Reebok,8016,150,Orange,42,Polyester
1401,Hoodie,Tommy Hilfiger,691,115,Purple,XL,Leather
1402,Shorts,Reebok,7527,173,Yellow,38,Mesh
1403,Hoodie,Tommy Hilfiger,8338,79,Purple,S,Polyester
1404,T-Shirt,Gucci,8921,124,Grey,S,Polyester
1405,Jeans,Nike,3743,11,Orange,S,Wool
1406,Jacket,Nike,8766,197,Purple,44,Linen
1407,Dress,H&M,8392,186,Purple,40,Linen
1408,T-Shirt,Levi's,5988,18,White,36,Nylon
1409,Blazer,Gucci,5300,53,Grey,40,Leather
1410,Jacket,Puma,5260,174,Black,36,Cotton
1411,T-Shirt,Gucci,2957,146,Green,L,Viscose
1412,Shorts,Adidas,2237,28,Purple,M,Denim
1413,Dress,Armani,1342,93,Black,38,Leather
1414,Skirt,H&M,8614,13,Green,40,Mesh
1415,Jacket,Adidas,2039,124,Red,XXL,Viscose
1416,Skirt,Puma,2347,140,Green,36,Wool
1417,Jacket,Reebok,4394,39,Grey,40,Nylon
1418,Jeans,Levi's,974,48,Blue,36,Leather
1419,Hoodie,Gucci,3661,183,Black,S,Nylon
1420,Shorts,Reebok,6581,96,Pink,XXL,Polyester
1421,Jeans,Reebok,8505,189,Orange,38,Linen
1422,Sweater,Gucci,5129,57,Orange,36,Cotton
1423,Jacket,Armani,6190,143,Pink,L,Linen
1424,T-Shirt,Levi's,7290,26,Red,42,Viscose
1425,T-Shirt,Puma,2227,163,Blue,XL,Polyester
1426,Skirt,Gucci,6308,173,Green,L,Polyester
1427,Blazer,H&M,7848,171,Orange,44,Cotton
1428,Jeans,Nike,3894,23,Green,XXL,Denim
1429,Jacket,Zara,4283,79,Green,42,Leather
1430,Shorts,Tommy Hilfiger,5869,91,White,XXL,Silk
1431,Skirt,Puma,2876,182,Yellow,L,Viscose
1432,Shorts,Zara,9846,84,Green,38,Denim
1433,Skirt,Levi's,3600,102,Green,36,Silk
1434,Sneakers,Tommy Hilfiger,9196,114,Red,XL,Nylon
1435,Dress,Gucci,5305,73,White,M,Cotton
1436,T-Shirt,Tommy Hilfiger,7482,40,Grey,XXL,Polyester
1437,Jeans,Puma,7829,165,Black,44,Nylon
1438,Skirt,Tommy Hilfiger,4450,89,Green,M,Nylon
1439,T-Shirt,Levi's,3638,148,Black,S,Linen
1440,Blazer,Zara,2257,15,Grey,44,Nylon
1441,Shorts,Reebok,1146,87,White,38,Viscose
1442,Sneakers,Nike,9023,109,Black,38,Silk
1443,Jeans,Tommy Hilfiger,4324,47,White,L,Linen
1444,Shorts,Armani,5589,112,Red,XXL,Denim
1445,Dress,Tommy Hilfiger,9757,127,Pink,44,Leather
1446,Shorts,Levi's,9371,185,White,38,Linen
1447,Sneakers,Puma,8384,49,Blue,XL,Silk
1448,Skirt,Tommy Hilfiger,3557,17,Red,36,Nylon
1449,Jeans,H&M,3325,187,Orange,40,Cotton
1450,Blazer,Tommy Hilfiger,4919,45,Red,42,Polyester
1451,Jacket,Nike,4698,149,Pink,44,Linen
1452,Hoodie,Levi's,9124,186,Orange,42,Cotton
1453,Jacket,Levi's,2433,19,Yellow,42,Silk
1454,Shorts,Zara,6947,76,Blue,38,Leather
1455,Dress,Puma,6150,196,Yellow,L,Wool
1456,Skirt,H&M,9218,194,White,44,Cotton
1457,T-Shirt,Puma,596,85,Black,38,Silk
1458,Jeans,Levi's,9075,54,White,XXL,Cotton
1459,Shorts,Levi's,7247,109,Grey,38,Denim
1460,Shorts,Reebok,6499,60,Red,M,Leather
1461,Jeans,Puma,6478,34,Blue,XXL,Mesh
1462,Jeans,Armani,5237,173,Red,S,Polyester
1463,Sneakers,Puma,4985,73,Yellow,L,Denim
1464,T-Shirt,Armani,7150,100,Grey,S,Viscose
1465,Blazer,Adidas,7493,153,Pink,36,Viscose
1466,Blazer,Levi's,6086,60,Black,42,Linen
1467,Blazer,Puma,2452,80,Yellow,M,Viscose
1468,Shorts,Tommy Hilfiger,3099,29,Blue,S,Denim
1469,Dress,Reebok,4734,183,Purple,M,Nylon
1470,Dress,Gucci,2246,22,Grey,40,Wool
1471,Shorts,Nike,2138,191,Orange,36,Viscose
1472,Skirt,Puma,2047,97,White,44,Denim
1473,T-Shirt,Armani,610,61,Green,40,Mesh
1474,Blazer,Levi's,9686,139,Grey,40,Polyester
1475,Sweater,Nike,4039,128,White,44,Denim
1476,Skirt,Tommy Hilfiger,1002,27,White,36,Polyester
1477,Blazer,H&M,6941,181,Green,40,Cotton
1478,Sweater,Zara,5307,21,Grey,XXL,Nylon
1479,T-Shirt,Gucci,6064,80,Blue,XXL,Mesh
1480,Jeans,Zara,1782,197,Grey,L,Leather
1481,Blazer,Levi's,5534,90,Green,40,Wool
1482,T-Shirt,Armani,8563,36,Pink,L,Wool
